lid,title,ds_source,eff_level,dispatch_authority,effective_range,province
bcbef9b217833b98db9fed03ca7f1bd9,常州市银行业金融机构统计指标2017.09.30,fg_crawl_pkulaw,地方法规/文件,,常州市,江苏省
a7be4c1bfacfc06756de9e493c25e077,中国知识产权保护与营商环境新进展报告,fg_crawl_pkulaw,部门规章/文件,,全国,全国
b74130f8a2044696bb5023774a49880e,常州市银行业金融机构统计指标2017.06.30,fg_crawl_pkulaw,地方法规/文件,,常州市,江苏省
11d8b9fdeab25107ab342935fb64c7b9,香港交易所新型及创新产业公司上市制度咨询总结,fg_crawl_pkulaw,行业规定,,全国,全国
