lid,title,ds_source,eff_level,dispatch_authority,effective_range,province
a824c8697cd80154d4acaa16275683aa,广州市购买商品房申办蓝印户口实施细则,fg_crawl_faxin,地方法规/文件,,广州市,广东省
7628f1de18d59c7616be1474b0cd3bc7,上海市烟草制品零售点合理布局规划,fg_crawl_faxin,地方法规/文件,,直辖市级法规,上海市
14bbb3f79a58989b75e6b884e7255b27,广东省律师事务所登记实施办法,fg_crawl_faxin,地方法规/文件,,广东省级法规,广东省
28dff9099b6296e37ee05267d6154d0b,四川省非政府人事部门人才流动服务中介机构管理暂行规定,fg_crawl_faxin,地方法规/文件,,四川省级法规,四川省
dbeb9ebb95ea6d6ed340e4c6e1bcc88e,徐州市市级专利专项资金管理暂行办法,fg_crawl_faxin,地方法规/文件,,徐州市,江苏省
a7fffd7177fe76c6a049fd75409e3cc3,云南省高级人民法院民事审判第二庭案件审理规范（试行）,fg_crawl_faxin,地方司法文件,,云南省级法规,云南省
625281c842c3daf93986a292ff31560d,广西壮族自治区地方税务局机关党员下基层开展“转变作风，服务群众”主题实践活动实施方案,fg_crawl_faxin,地方法规/文件,,广西区级法规,广西壮族自治区
17e9c1748a0d301bdfad26732d1851f6,南京市轨道交通乘客守则（试行）,fg_crawl_faxin,地方法规/文件,,南京市,江苏省
f187ba67bd37c16a8f7587d487799fca,贵港市地方税务局2009年政务公开工作计划,fg_crawl_faxin,地方法规/文件,,贵港市,广西壮族自治区
b729f41151105fa6440e6c1a189841e0,浙江省教师培养培训专项资金管理办法,fg_crawl_faxin,地方法规/文件,,浙江省级法规,浙江省
595e86a363ca919fd4110253ab8b3e49,邯郸市2010年国民经济和社会发展统计公报,fg_crawl_faxin,地方法规/文件,,邯郸市,河北省
1632c45caabb64af55bf8026b7fda408,广东省紫胶生产管理办法,fg_crawl_faxin,地方法规/文件,,广东省级法规,广东省
1fb04322b25a8624bf72beb9126f2820,大连市市直机关和事业单位差旅费管理办法,fg_crawl_faxin,地方法规/文件,,大连市,辽宁省
49ec7c39cd43bd7b1c37912aa6625ff8,北京专员办证券资格会计师事务所行政监督办法（试行）,fg_crawl_faxin,地方法规/文件,,直辖市级法规,北京市
661e92c121a579e3d782814d63499694,北京市人事系统受理举报投诉公务员案件工作规则,fg_crawl_faxin,地方法规/文件,,直辖市级法规,北京市
a8f117beb666cd94b3c2435018a112d2,南京市废品旧货业治安管理规定,fg_crawl_faxin,地方法规/文件,,南京市,江苏省
c02c2f568adeb728e72ba42f98af0464,福建省人事厅专业技术人员资格考试违纪违规行为处理规定,fg_crawl_faxin,地方法规/文件,,福建省级法规,福建省
ad44af65e2921eb5a51c94fe8db08116,甘肃省农业机械推广鉴定获证产品及其生产企业目录（2007年第二批）,fg_crawl_faxin,地方法规/文件,,甘肃省级法规,甘肃省
adf5fcfbf43a2353b698d24a3f83957a,上海市律师协会会费使用规则,fg_crawl_faxin,地方法规/文件,,直辖市级法规,上海市
865cb6f7144ce5a3fa3c1338840185c9,重庆农村商业银行农用机械按揭贷款管理办法,fg_crawl_faxin,地方法规/文件,,直辖市级法规,重庆市
33eb656bc9900cf1b8c418c43583fefc,湖南省商品房价格和土地开发转让费管理试行办法,fg_crawl_faxin,地方法规/文件,,湖南省级法规,湖南省
